binder,extra water,alkaline solution,molarity of mix,fine aggregate,coarse aggregate,age,curing temperature,compressive strength,water,pozzolan,foaming agent,density,concrete type,water binder ratio
428.0,43.0,171.0,14.0,630.0,1170.0,1.0,75.0,30.0,,,,,0,0.5
444.0,43.0,155.0,14.0,630.0,1170.0,1.0,75.0,30.0,,,,,0,0.44594594594594594
428.0,43.0,171.0,14.0,630.0,1170.0,1.0,75.0,40.0,,,,,0,0.5
428.0,43.0,171.0,14.0,630.0,1170.0,1.0,75.0,28.0,,,,,0,0.5
428.0,43.0,171.0,14.0,630.0,1170.0,2.0,75.0,32.0,,,,,0,0.5
428.0,43.0,171.0,14.0,630.0,1170.0,2.0,75.0,32.0,,,,,0,0.5
428.0,43.0,171.0,14.0,630.0,1170.0,2.0,75.0,30.0,,,,,0,0.5
428.0,43.0,171.0,14.0,630.0,1170.0,2.0,75.0,29.0,,,,,0,0.5
428.0,43.0,171.0,14.0,630.0,1170.0,2.0,75.0,36.0,,,,,0,0.5
428.0,0.0,175.0,14.0,630.0,1170.0,7.0,60.0,45.0,,,,,0,0.4088785046728972
318.0,0.0,175.0,5.0,662.0,1230.0,7.0,60.0,48.36,,,,,0,0.550314465408805
318.0,0.0,175.0,10.0,662.0,1230.0,7.0,70.0,54.79,,,,,0,0.550314465408805
318.0,0.0,175.0,15.0,662.0,1230.0,7.0,80.0,56.37,,,,,0,0.550314465408805
318.0,0.0,175.0,5.0,662.0,1230.0,7.0,70.0,54.31,,,,,0,0.550314465408805
318.0,0.0,175.0,10.0,662.0,1230.0,7.0,60.0,55.24,,,,,0,0.550314465408805
318.0,0.0,175.0,20.0,662.0,1230.0,7.0,80.0,57.94,,,,,0,0.550314465408805
318.0,0.0,175.0,5.0,662.0,1230.0,7.0,80.0,57.06,,,,,0,0.550314465408805
318.0,0.0,175.0,15.0,662.0,1230.0,7.0,60.0,55.76,,,,,0,0.550314465408805
318.0,0.0,175.0,20.0,662.0,1230.0,7.0,70.0,59.53,,,,,0,0.550314465408805
318.0,0.0,175.0,10.0,662.0,1230.0,7.0,80.0,63.67,,,,,0,0.550314465408805
318.0,0.0,175.0,15.0,662.0,1230.0,7.0,70.0,64.39,,,,,0,0.550314465408805
318.0,0.0,175.0,20.0,662.0,1230.0,7.0,60.0,56.02,,,,,0,0.550314465408805
398.0,80.0,170.0,14.0,636.0,1202.0,7.0,28.0,18.6,,,,,0,0.628140703517588
398.0,80.0,170.0,14.0,636.0,1202.0,28.0,28.0,36.4,,,,,0,0.628140703517588
398.0,76.0,170.0,14.0,636.0,1202.0,7.0,28.0,18.9,,,,,0,0.6180904522613065
398.0,76.0,170.0,14.0,636.0,1202.0,28.0,28.0,38.1,,,,,0,0.6180904522613065
398.0,62.0,170.0,14.0,636.0,1202.0,7.0,28.0,20.2,,,,,0,0.5829145728643216
398.0,62.0,170.0,14.0,636.0,1202.0,28.0,28.0,38.9,,,,,0,0.5829145728643216
398.0,50.0,170.0,14.0,636.0,1202.0,7.0,28.0,20.7,,,,,0,0.5527638190954773
398.0,50.0,170.0,14.0,636.0,1202.0,28.0,28.0,40.2,,,,,0,0.5527638190954773
398.0,75.0,170.0,14.0,636.0,1202.0,7.0,28.0,15.1,,,,,0,0.6155778894472361
398.0,75.0,170.0,14.0,636.0,1202.0,28.0,28.0,31.1,,,,,0,0.6155778894472361
398.0,72.0,170.0,14.0,636.0,1202.0,7.0,28.0,15.9,,,,,0,0.6080402010050251
398.0,72.0,170.0,14.0,636.0,1202.0,28.0,28.0,32.6,,,,,0,0.6080402010050251
398.0,60.0,170.0,14.0,636.0,1202.0,7.0,28.0,17.1,,,,,0,0.5778894472361809
398.0,60.0,170.0,14.0,636.0,1202.0,28.0,28.0,34.8,,,,,0,0.5778894472361809
398.0,52.0,170.0,14.0,636.0,1202.0,7.0,28.0,18.4,,,,,0,0.5577889447236181
398.0,52.0,170.0,14.0,636.0,1202.0,28.0,28.0,35.9,,,,,0,0.5577889447236181
468.0,123.62,128.38,10.0,672.0,1008.0,7.0,28.0,6.16,,,,,0,0.5384615384615384
468.0,123.62,128.38,10.0,672.0,1008.0,14.0,28.0,16.08,,,,,0,0.5384615384615384
468.0,123.62,128.38,10.0,672.0,1008.0,28.0,28.0,24.5,,,,,0,0.5384615384615384
468.0,128.57,123.43,10.0,672.0,1008.0,7.0,28.0,20.39,,,,,0,0.5384615384615384
468.0,128.57,123.43,10.0,672.0,1008.0,14.0,28.0,27.53,,,,,0,0.5384615384615384
468.0,128.57,123.43,10.0,672.0,1008.0,28.0,28.0,37.25,,,,,0,0.5384615384615384
550.0,117.86,113.14,10.0,446.15,1025.65,7.0,28.0,41.07,,,,,0,0.42
550.0,117.86,113.14,10.0,446.15,1025.65,14.0,28.0,45.53,,,,,0,0.42
550.0,117.86,113.14,10.0,446.15,1025.65,28.0,28.0,49.7,,,,,0,0.42
408.0,4.0,155.0,14.0,647.0,1201.0,28.0,60.0,32.0,,,,,0,0.3897058823529412
408.0,0.0,155.0,14.0,647.0,1201.0,28.0,60.0,36.0,,,,,0,0.3799019607843137
408.0,0.0,171.0,14.0,647.0,1201.0,28.0,60.0,48.0,,,,,0,0.41911764705882354
400.0,48.0,200.0,10.0,850.0,950.0,28.0,70.0,45.0,,,,,0,0.62
400.0,48.0,200.0,10.0,850.0,950.0,28.0,70.0,45.0,,,,,0,0.62
500.0,36.344,270.734,10.0,525.0,975.0,28.0,28.0,37.4,,,,,0,0.6141559999999999
500.0,36.344,270.734,10.0,525.0,975.0,60.0,28.0,53.13,,,,,0,0.6141559999999999
500.0,36.344,270.734,10.0,472.0,877.5,28.0,28.0,40.0,,,,,0,0.6141559999999999
500.0,36.344,270.734,10.0,472.0,877.5,60.0,28.0,55.4,,,,,0,0.6141559999999999
500.0,36.344,270.734,10.0,420.0,780.0,28.0,28.0,28.3,,,,,0,0.6141559999999999
500.0,36.344,270.734,10.0,420.0,780.0,60.0,28.0,42.2,,,,,0,0.6141559999999999
500.0,36.344,270.734,10.0,367.0,682.5,28.0,28.0,24.8,,,,,0,0.6141559999999999
500.0,36.344,270.734,10.0,367.0,682.5,60.0,28.0,38.3,,,,,0,0.6141559999999999
493.0,61.1,165.5,6.0,659.0,988.0,1.0,60.0,48.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,1.0,60.0,52.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,1.0,60.0,52.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,3.0,60.0,52.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,3.0,60.0,54.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,3.0,60.0,53.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,28.0,60.0,52.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,28.0,60.0,54.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,28.0,60.0,54.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,1.0,60.0,48.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,1.0,60.0,54.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,1.0,60.0,52.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,3.0,60.0,52.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,3.0,60.0,55.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,3.0,60.0,57.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,28.0,60.0,52.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,28.0,60.0,57.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,28.0,60.0,57.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,1.0,60.0,54.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,1.0,60.0,52.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,1.0,60.0,51.0,,,,,0,0.4596348884381339
493.0,61.1,165.5,6.0,659.0,988.0,3.0,60.0,56.0,,,,,0,0.4596348884381339
